problem_id,family,strategy,problem_idx,result,file,notes
HumanEval_0,GPT5,SCoT,0,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_0.py,OK
HumanEval_1,GPT5,SCoT,1,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_1.py,OK
HumanEval_2,GPT5,SCoT,2,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_2.py,OK
HumanEval_3,GPT5,SCoT,3,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_3.py,OK
HumanEval_4,GPT5,SCoT,4,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_4.py,OK
HumanEval_5,GPT5,SCoT,5,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_5.py,OK
HumanEval_6,GPT5,SCoT,6,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_6.py,OK
HumanEval_7,GPT5,SCoT,7,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_7.py,OK
HumanEval_8,GPT5,SCoT,8,FAIL,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_8.py,"Test a: expected (2, 3), got (3, 2)"
HumanEval_9,GPT5,SCoT,9,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SCoT/sample_9.py,OK
HumanEval_0,CLAUDE,SCoT,0,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_0.py,OK
HumanEval_1,CLAUDE,SCoT,1,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_1.py,OK
HumanEval_2,CLAUDE,SCoT,2,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_2.py,OK
HumanEval_3,CLAUDE,SCoT,3,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_3.py,OK
HumanEval_4,CLAUDE,SCoT,4,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_4.py,OK
HumanEval_5,CLAUDE,SCoT,5,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_5.py,OK
HumanEval_6,CLAUDE,SCoT,6,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_6.py,OK
HumanEval_7,CLAUDE,SCoT,7,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_7.py,OK
HumanEval_8,CLAUDE,SCoT,8,FAIL,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_8.py,"Test a: expected (2, 3), got (3, 2)"
HumanEval_9,CLAUDE,SCoT,9,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/CLAUDE/SCoT/sample_9.py,OK
HumanEval_0,GPT5,SelfDebug,0,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_0.py,OK
HumanEval_1,GPT5,SelfDebug,1,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_1.py,OK
HumanEval_2,GPT5,SelfDebug,2,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_2.py,OK
HumanEval_3,GPT5,SelfDebug,3,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_3.py,OK
HumanEval_4,GPT5,SelfDebug,4,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_4.py,OK
HumanEval_5,GPT5,SelfDebug,5,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_5.py,OK
HumanEval_6,GPT5,SelfDebug,6,PASS,/Users/asr373/Desktop/llm_eval/generations/HumanEval_X/GPT5/SelfDebug/sample_6.py,OK
